id,name,description,category,created_at,requirement,collektion
70,Half Wonder,Besuche 3 der 7 Weltwunder,Landmarks,2026-03-05 17:50:12.638825+00,"{""type"": ""wonders_visited"", ""value"": 3, ""mechanism"": ""unique_count""}",
71,Wonder of the World,Besuche alle 7 Weltwunder,Landmarks,2026-03-05 17:50:12.638825+00,"{""type"": ""wonders_visited"", ""value"": 7, ""mechanism"": ""unique_count""}",
72,Gamer,Besuche eine Gamescom,Landmarks,2026-03-05 17:50:12.638825+00,"{""type"": ""visited_gamescom"", ""value"": 1, ""mechanism"": ""simple_threshold""}",
73,Gamer I,Besuche 3 Gamescoms,Landmarks,2026-03-05 17:50:12.638825+00,"{""type"": ""visited_gamescom"", ""value"": 3, ""mechanism"": ""simple_threshold""}",
74,Gamer II,Besuche 5 Gamescoms,Landmarks,2026-03-05 17:50:12.638825+00,"{""type"": ""visited_gamescom"", ""value"": 5, ""mechanism"": ""simple_threshold""}",
75,Maker,Besuche eine Maker Faire,Landmarks,2026-03-05 17:50:12.638825+00,"{""type"": ""visited_makerfaire"", ""value"": 1, ""mechanism"": ""simple_threshold""}",
76,Maker I,Besuche 3 Maker Faires,Landmarks,2026-03-05 17:50:12.638825+00,"{""type"": ""visited_makerfaire"", ""value"": 3, ""mechanism"": ""simple_threshold""}",
77,Maker II,Besuche 5 Maker Faires,Landmarks,2026-03-05 17:50:12.638825+00,"{""type"": ""visited_makerfaire"", ""value"": 5, ""mechanism"": ""simple_threshold""}",
78,Culture Seeker,Besuche 5 Museen in einem Monat,Landmarks,2026-03-05 17:50:12.638825+00,"{""type"": ""museums_this_month"", ""value"": 5, ""mechanism"": ""unique_count""}",
80,Music Lover,Hoere mehr als 5 Stunden Musik an einem Tag,Fun,2026-03-05 17:50:12.638825+00,"{""type"": ""music_hours_today"", ""value"": 5, ""mechanism"": ""simple_threshold""}",
81,Konami Code,Gib den Konami Code in der App ein,Fun,2026-03-05 17:50:12.638825+00,"{""type"": ""konami_code_entered"", ""value"": true, ""mechanism"": ""simple_threshold""}",
82,Hello World,Logge dich zum ersten Mal in der App ein,Fun,2026-03-05 17:50:12.638825+00,"{""type"": ""total_logins"", ""value"": 1, ""mechanism"": ""simple_threshold""}",
83,Old Phone,Benutze die App auf einem Handy das aelter als 5 Jahre ist,Fun,2026-03-05 17:50:12.638825+00,"{""type"": ""device_age_years"", ""value"": 5, ""mechanism"": ""simple_threshold""}",
84,Friday the 13th,Oeffne die App an einem Freitag dem 13.,Fun,2026-03-05 17:50:12.638825+00,"{""type"": ""is_friday_13th"", ""value"": true, ""mechanism"": ""simple_threshold""}",
85,Palindrome Day,Oeffne die App an einem Palindrom-Datum,Fun,2026-03-05 17:50:12.638825+00,"{""type"": ""is_palindrome_date"", ""value"": true, ""mechanism"": ""simple_threshold""}",
86,Birthday,Oeffne die App genau an deinem Geburtstag,Fun,2026-03-05 17:50:12.638825+00,"{""type"": ""is_users_birthday"", ""value"": true, ""mechanism"": ""simple_threshold""}",
87,404 Not Found,Laufe in der Natur mindestens 4 Mal an derselben Stelle vorbei,Fun,2026-03-05 17:50:12.638825+00,"{""type"": ""same_spot_passes"", ""value"": 4, ""mechanism"": ""simple_threshold""}",
88,Mathias Mode,Benutze den Light Mode 30 Tage lang,Fun,2026-03-05 17:50:12.638825+00,"{""type"": ""light_mode_days"", ""value"": 30, ""mechanism"": ""simple_threshold""}",
89,Void,Besuche Bielefeld,Fun,2026-03-05 17:50:12.638825+00,"{""type"": ""visited_city"", ""value"": ""Bielefeld"", ""mechanism"": ""city_visit""}",
91,Beta User,Nehme am Beta Programm teil und gebe Feedback,App,2026-03-05 17:50:12.638825+00,"{""type"": ""is_beta_user"", ""value"": true, ""mechanism"": ""simple_threshold""}",
92,Up Mark Dev,Mache einen erfolgreichen Pull Request zu Up Mark,App,2026-03-05 17:50:12.638825+00,"{""type"": ""upmark_pull_requests"", ""value"": 1, ""mechanism"": ""simple_threshold""}",
93,Open Source Hero,Mache 5 Pull Requests zu Open Source Projekten,App,2026-03-05 17:50:12.638825+00,"{""type"": ""open_source_prs"", ""value"": 5, ""mechanism"": ""simple_threshold""}",
94,Bug Hunter,Melde einen Bug in der App,App,2026-03-05 17:50:12.638825+00,"{""type"": ""bugs_reported"", ""value"": 1, ""mechanism"": ""simple_threshold""}",
95,Loyal,Nutze die App 365 Tage lang,App,2026-03-05 17:50:12.638825+00,"{""type"": ""app_usage_days"", ""value"": 365, ""mechanism"": ""simple_threshold""}",
96,Streak,Schalte innerhalb von 5 Wochen pro Woche 2 oder mehr Achievements frei,App,2026-03-05 17:50:12.638825+00,"{""type"": ""weekly_achievement_streak"", ""value"": 5, ""mechanism"": ""simple_threshold""}",
97,Speed Runner,Schalte 10 Achievements innerhalb einer Woche frei,App,2026-03-05 17:50:12.638825+00,"{""type"": ""achievements_this_week"", ""value"": 10, ""mechanism"": ""simple_threshold""}",
98,Night Coder,Oeffne die App zwischen 2 und 4 Uhr morgens,App,2026-03-05 17:50:12.638825+00,"{""mechanism"": ""combined"", ""conditions"": [{""type"": ""current_hour"", ""value"": 2, ""operator"": ""greater_equal""}, {""type"": ""current_hour"", ""value"": 4, ""operator"": ""less_than""}]}",
99,Dark Side,Benutze den Dark Mode 30 Tage Lang,App,2026-03-05 17:50:12.638825+00,"{""type"": ""dark_mode_days"", ""value"": 30, ""mechanism"": ""simple_threshold""}",
100,Duo,Erhalte mit einem Freund gleichzeitig ein Achievement,App,2026-03-05 17:50:12.638825+00,"{""type"": ""simultaneous_achievement_with_friend"", ""value"": true, ""mechanism"": ""simple_threshold""}",
101,Jufo,Mache bei Jugend Forscht mit,App,2026-03-05 17:50:12.638825+00,"{""type"": ""jufo_participations"", ""value"": 1, ""mechanism"": ""simple_threshold""}",
102,Jufo I,Mache zum zweiten Mal bei Jugend Forscht mit,App,2026-03-05 17:50:12.638825+00,"{""type"": ""jufo_participations"", ""value"": 2, ""mechanism"": ""simple_threshold""}",
103,Jufo II,Mache 4 Mal bei Jugend Forscht mit,App,2026-03-05 17:50:12.638825+00,"{""type"": ""jufo_participations"", ""value"": 4, ""mechanism"": ""simple_threshold""}",
104,Founder,Du warst unter den ersten 10 Nutzern von Up Mark,App,2026-04-02 22:21:22.992593+00,"{""type"": ""user_number"", ""value"": 10, ""operator"": ""less_equal"", ""mechanism"": ""simple_threshold""}",
105,First User,Du warst unter den ersten 50 Nutzern von Up Mark,App,2026-04-02 22:21:22.992593+00,"{""type"": ""user_number"", ""value"": 50, ""operator"": ""less_equal"", ""mechanism"": ""simple_threshold""}",
